Review,Sentiment
Nice jean for my son but the sizing was off so I had to return it. It was way too small.,mixed
"Very nice fit, gives with movements",positive
Great fit!,positive
Jeans can be dressed up or as casual,neutral
Jeans look amazing on,positive
😊,positive
"They fit good

However they don't flex like they are supposed to",positive
"Great for, I'm 5'7 and these jeans fit really well.",positive
Perfect fit my son is 6'4 150lbs,positive
The jeans are comfortable and look good.,positive
Very stylish,positive
Perfect fit,positive
Great fitting jeans for my son. Had to order online since the store does not carry the size I needed,mixed
"These look great on my partner, washed well as well.",positive
Comfy not over tight,positive
True to size great color my husband loves these. He like the color the fit and how comfortable they are. Will buy again,positive
Nice and light! A very good option for work,positive
"Good fit, a bit long in the rise but overall a win.",positive
Jeans fit nice they show off my husband's butt just nice,positive
He finds them comfortable and the colouring is great.,positive
"Classi style, classic fit - the perfect jean for everyday wear.",positive
Great pair and style for a great price. Couldn't ask for better. #sweepstakes,positive
Great jeans for our high school senior. Fit was fabulous. Color is so nice.,positive
Third pair this year that ripped along the back pocket seam.  The fit and comfort were great but not worth it if I need to worry the back of my jeans will rip every time I pick something up.,negative
"Great color, great fit!",positive
"Couldn't be more pleased. I'm kinda between sizes, so ordered up, but with stretchy fit it worked perfect. I bought all colors!",mixed
Decent fit...true to size,positive
"Really like these jeans, good cut, good fabric, great color. They're my new favorites",positive
These pants have the perfect stretch for a great fit,positive
Great durable fabric with flexible soft feel and good pricing.,positive
Great,positive
"Stylish, but for some reason, walking around in these pants made my upper, inner thighs chafe. need a different fit so the fabric rubs against itself, not my skin. I like the indigo color because it can be worn for casual or work.",positive
Very nice jeans,positive
Third pair this year that ripped along the back pocket seam.  The fit and comfort were great but not worth it if I need to worry the back of my jeans will rip every time I pick something up.,negative
"Great color, great fit!",positive
"Couldn't be more pleased. I'm kinda between sizes, so ordered up, but with stretchy fit it worked perfect. I bought all colors!",mixed
Decent fit...true to size,positive
"Really like these jeans, good cut, good fabric, great color. They're my new favorites",positive
These pants have the perfect stretch for a great fit,positive
Great durable fabric with flexible soft feel and good pricing.,positive
Great,positive
"Stylish, but for some reason, walking around in these pants made my upper, inner thighs chafe. need a different fit so the fabric rubs against itself, not my skin. I like the indigo color because it can be worn for casual or work.",positive
Very nice jeans,positive
Third pair this year that ripped along the back pocket seam.  The fit and comfort were great but not worth it if I need to worry the back of my jeans will rip every time I pick something up.,negative
"Great color, great fit!",positive
"Couldn't be more pleased. I'm kinda between sizes, so ordered up, but with stretchy fit it worked perfect. I bought all colors!",mixed
Decent fit...true to size,positive
"Really like these jeans, good cut, good fabric, great color. They're my new favorites",positive
These pants have the perfect stretch for a great fit,positive
Great durable fabric with flexible soft feel and good pricing.,positive
Great,positive
"Stylish, but for some reason, walking around in these pants made my upper, inner thighs chafe. need a different fit so the fabric rubs against itself, not my skin. I like the indigo color because it can be worn for casual or work.",positive
Very nice jeans,positive
"These look great on my partner, washed well as well.",positive
Comfy not over tight,positive
True to size great color my husband loves these. He like the color the fit and how comfortable they are. Will buy again,positive
Nice and light! A very good option for work,positive
"Good fit, a bit long in the rise but overall a win.",positive
Jeans fit nice they show off my husband's butt just nice,positive
He finds them comfortable and the colouring is great.,positive
"Classi style, classic fit - the perfect jean for everyday wear.",positive
Great pair and style for a great price. Couldn't ask for better. #sweepstakes,positive
Great jeans for our high school senior. Fit was fabulous. Color is so nice.,positive
So wonderful to find pants to fit my tall skinny guy! 30x36 is a perfect fit!,positive
My son wears them everyday and they last,neutral
My son wears them everyday!,positive
"Nice looking, good quality and great fitting jeans.",positive
My husband likes these pants because they're comfortable and baggy.,positive
Great fit,positive
Beautiful,positive
My son's favourite jeans,positive
Fast and easy! Very good service. After sale specials are awesome.,positive
They fit perfect. The associate Sean was very helpful in picking out the right jeans for my son.,positive
Bell bottom boot cut,neutral
Thankful for the tall sizes! 30x36 is a perfect fit!,positive
"Great product, Great price, and delivered fast. thank you",positive
"I bought these for my 14 yr old son. He is almost 5'8, about 120 pounds. I got him a 30x34 and they fit great.",positive
"Thought I wish we could go back to the days where you could get a true fit (34X31 or 35X31) the pants made me feel great about my weight loss. It has been years since I fit into a size 34, and these fit great! I will be wearing these for a very long time!",positive
Good looking pair of jeans. Comfortable and affordable. My favorite cut. Have another pair ordered!,positive
Comfortable pants for my husband. Makes the booty look nice.,positive
Smooth Transaction and prompt Shipping. Thank you again Old Navy. Love your Jeans!!,positive
First pair of men's jeans I've had to by for my son. He really liked them. Especially the dark wash. Not tight in the thighs. And washed nicely.,positive
True to fit and comfey. The stretch material helps maintain the comfort especially in the sitting position for long periods of time behind the desk. Love these jeans!,positive
"They fit true to size, are very light weight, and have a nicer color than they show online.",positive
Great fit,positive
Nice looking jeans good quality and price,positive
Easy transaction and fast shipping. Will purchase again!,positive
nice color,positive
it was too tight,negative
"Great price, appreciate the sale",positive
Great price and good quality,positive
Great fit,positive
My husband love the jeans felt comfortable looked good. He said. Washes really nice.,positive
"They fit true to size, are very light weight, and have a nicer color than they show online.",positive
Great fit,positive
Nice looking jeans good quality and price,positive
Easy transaction and fast shipping. Will purchase again!,positive
nice color,positive
it was too tight,negative
"Great price, appreciate the sale",positive
Great price and good quality,positive
Great fit,positive
My husband love the jeans felt comfortable looked good. He said. Washes really nice.,positive
So wonderful to find pants to fit my tall skinny guy! 30x36 is a perfect fit!,positive
My son wears them everyday and they last,neutral
My son wears them everyday!,positive
"Nice looking, good quality and great fitting jeans.",positive
My husband likes these pants because they're comfortable and baggy.,positive
Great fit,positive
Beautiful,positive
My son's favourite jeans,positive
Fast and easy! Very good service. After sale specials are awesome.,positive
They fit perfect. The associate Sean was very helpful in picking out the right jeans for my son.,positive
Great fit,positive
The jeans were just like advertised and the fit was perfect. Needs some breaking in but they fit well,positive
love the color,positive
Bought these for my 14 yr old son. He is almost 5'8  about 120. I ordered him 30x34 and they fit great. They look very nice!,positive
Great blue jeans for a great price,positive
Good fit,positive
Flattering & comfortable!,positive
Comfortable jeans for my husband. It really makes his bum look nice.,positive
"Tight in the thighs, but great color!",positive
Nice fit and comfortable!,positive
I'm sure they would be fine but my So needed the stretch,neutral
"I purchased these for my picky teenage son, he approves. We ended up buying several more pairs a week after.",positive
Great fit,positive
My husband is 160 5'8 order 34x30 & they fit him great. We weren't expecting the stretch in the fabric but that's why he loves them so much. His new favorite pair of jeans. We've washed them twice in warm water & tumble dried medium & so far no fading. Going to buy a pair for our teen.,positive
It's perfect for work,positive
"Excellent fit, comfortable jeans.",positive
good price for the item,positive
My husband looks great in these jeans! They are modern and comfortable.,positive
Great!,positive
I bought these jeans for my husband. He loves them. They fit true to size and look great with a casual tee or with a button-down shirt.,positive
Got these for my son. They fit perfect! He loves them!,positive
"Comfortable, fit well. Really like the color",positive
"True to the size guide provided, best looking khakis I own",positive
"These pants are definitely pants, I put them on and it feels like I'm wearing pants",neutral
Fits good and I like them,positive
The pants perfectly fit my husband & quality of materials we're good.  We got them for a good price because of all the discounts & super cash rewards that we redeemed.  Thank you so much.  Looking forward for our next shopping.  More power.,positive
Excellent material and fit,positive
"Love the fit of the slim jeans, also has great voice of colors.",positive
Perfect fit my son is 6'4 150lbs,positive
Perfect fit and very comfortable,positive
Great price. Great fit. Look great. Super comfortable.,positive
"Grat fit ,look good",positive
Excellent fit with ease of movement,positive
All around great!,positive
"Too long, no way they were actually a 30 length",negative
Nice jeans.  Super comfortable.  Seems a bit larger then others in the same size though.,positive
Great git,positive
"Love the jeans , purchase them for my husband , ,love the way he looks in them super comfortable he says ❤️",positive
"Comfy, stylish",positive
The most form fitting pants in the game. So comfortable. Stretches to fit. Five stars!!!,positive
What we were looking for and the price was pretty good.,positive
Very nice,positive
Fits accurately,positive
Best fitting jeans I ever owned.,positive
"Fit small 
Buy one size bigger than your actual waist size",neutral
It's a bit loose and my size wasn't available for length,negative
Good fit but material is not as soft as the last couple years. Still my favorite fitting jeans.,mixed
Unfortunately they did not fit but the style is great.,positive
"These pants ""fit, as in, I could put them on.  The waist is perfect but the seat/crotch is cut comically too long, which means the top of the inseam hangs almost to my knees.  I seriously have to pull these up to my nips to get the inseam to sit where it should, otherwise these feel like wearing a diaper.  With the inseam hanging so low, the legs then end up being too long and baggy.  These are supposed to ""taper"", but like many pants in larger sizes, the factory must think that all fat dudes have calves and ankles as thick as their thighs because the ankles are massive and bunch up around your shoes in the most unflattering way.  Old Navy needs to redesign the cut on these ASAP.  I bought a blue pair of these same pants a few years back and they were the best cut jeans I've ever owned.  Not a single pair has fit the same since due to how terribly they're cut.  Needless to say, I'm not keeping these.",mixed
Fit great!,positive
Got these for my son. They fit perfect! He loves them!,positive
"Comfortable, fit well. Really like the color",positive
"True to the size guide provided, best looking khakis I own",positive
"These pants are definitely pants, I put them on and it feels like I'm wearing pants",neutral
Fits good and I like them,positive
The pants perfectly fit my husband & quality of materials we're good.  We got them for a good price because of all the discounts & super cash rewards that we redeemed.  Thank you so much.  Looking forward for our next shopping.  More power.,positive
Excellent material and fit,positive
"Love the fit of the slim jeans, also has great voice of colors.",positive
Perfect fit my son is 6'4 150lbs,positive
Perfect fit and very comfortable,positive
,neutral
Very soft and comfortable pants.  The color is lighter than expected but still a nice shade of gray.  Sizing seems to be accurate and washing them didn't shrink them or anything.  Material may be a little bit thin so not sure how long they will hold up.,mixed
"Snugger fit, long enough.",neutral
"Returned these - thought there was ""give"" in the waistband, but not enough...",negative
Bought for my teenage son. He absolutely loves them.,positive
Nice fit  Thin fabric,positive
"Comfortable & soft, great fit",positive
Love them super comfortable!,positive
Got this because it was on sale!!,positive
Great fit and great quality,positive
"nice fit, essential element for young mans wardrobe",positive
"Somehow the fit is different for different colors of these jeans. This color fits good, but the other 2 colors are a no from me dawg.",negative
He likes them,positive
Not a lot of give in these,neutral
Great fit,positive
Very comfortable. Great look!,positive
Great fit.,positive
Good fit for my son!,positive
Comfortable,positive
Good stuff,positive
Very comfortable and fit very well.  Great purchase!,positive
"So I never used to shop at old navy. Normally I'm a Zara or American eagle type for jeans but let me say these are just as good or even better. They aren't super tight like Zara jeans are, they don't shrink in the wash, the colour is perfect and the stretch… the stretch is just amazing. I am exactly 6 feet and so 30 length is an exact fit and 32 is a tad lag but can be hemmed so that's not an issue.",positive
After trying on the blue jeabs I picked up these but returned for a size and they fit perfectly.,positive
It does not washes out. It is comfortable and fits well,positive
Great stretch and comfort!,positive
Comfortable,positive
Best pants in the game,positive
Great style of jeans. Loved so much I bought in multiple colors… these ran too small even though they were the same size as others.,mixed
Fits true to size and are very comfortable,positive
"Looks grest, thank you.",positive
Jeans are super comfortable,positive
"Very disappointed, always wears a 32 waist and these were super big in a 32. Sizing must run large in the black.",negative
Didn't have my length but they are good jeans,positive
Great fit! Exactly as written,positive
Very comfortable and they fit perfectly.,positive
The fabric is a little tough and not as much flex as I typically like in my jeans. Overall great fit.,mixed
It's a perfect fit accurate sizing with your needs.,positive
"It's very comfy and a slim look when I wore.
I'm going buy a dark color too",positive
Nice jean for my son but the sizing was off so I had to return it. It was way too small.,mixed
"Very nice fit, gives with movements",positive
Great fit!,positive
Got these for my son. They fit perfect! He loves them!,positive
"Comfortable, fit well. Really like the color",positive
"True to the size guide provided, best looking khakis I own",positive
"These pants are definitely pants, I put them on and it feels like I'm wearing pants",neutral
Fits good and I like them,positive
The pants perfectly fit my husband & quality of materials we're good.  We got them for a good price because of all the discounts & super cash rewards that we redeemed.  Thank you so much.  Looking forward for our next shopping.  More power.,positive
Excellent material and fit,positive
"Love the fit of the slim jeans, also has great voice of colors.",positive
Perfect fit my son is 6'4 150lbs,positive
Perfect fit and very comfortable,positive
"Means are very nice,they have a lot of stretch so you can size down in waist size!! Need more length choices and colors would be nice",positive
"The nicest looking, most comfortable jeans for the money!",positive
Great fit,positive
Fits well. Comfortable and just the right length.,positive
Very comfortable pants and are well fitted yet comfortable. The color was exactly what I wanted and looked the same as the picture.,positive
"Perfect jeans,super comfortable",positive
Just what we were looking for,positive
Love these jeans. Perfect fit,positive
Fits perfectly. Like the stretchiness. Very please I want to order more of them in different colours.,positive
Fit my husband perfectly.  Great price,positive
Very comfortable! Great fit!,positive
"Excellant fit, great color choices and   fantastic price!!!!",positive
We bought 2 pairs of pants for my husband. Once we got them he put them straight on and loved how stretchy and comfortable they were. He did the squat test in case and the bender with him. He loves his pants . Highly recommend.,positive
The fit is slightly different from other athletic fit,neutral
Nice fit and the jeans are comfortable,positive
Finally an awesome fit in the legs and no crazy long drop crotch,positive
"This jeans are awesome; way better than I expected. They are comfortable, soft, very stretchy all around, and the fit is perfect for my athletic body and muscular legs.I love the color, too.",positive
Comfortable,positive
Very nice looking jeans and super comfortable!,positive
"Husband already has 2 pairs just had to get another one,he says it's soft and comfortable to wear to work.",positive
"I've always had a soft spot for Old Navy jeans. Comfy, durable, and priced just right. I only own another pair of the Relaxed Taper, but I can definitely say that the black ones I got (31x30) fit a bit looser compared to my medium blue pair of the same style. It's a persistent Old Navy issue but I'm fairly happy with them. Perfect for my lazy days or when I'd rather not get my fancy schmancy jeans too dirty.",mixed
Very well made. Great material. Recommend for men & boys.,positive
These jeans fit well and are very comfortable. Somewhat loose and not too tight.,mixed
love them only jeans that fit my husband,positive
good quality. got this for my son's BD. he will wear them heavily.,positive
My son really enjoys these jeans.,positive
Great wash and fit. Exactly what I was looking for. The slim fit isn't too tight.,positive
True to size and great quality,positive
"The pants fit perfectly however the only thing is that they're a bit short, but that's not a big deal for me. All in all, a great purchase!",positive
The jeans are very good and comfortable,positive
Great fit,positive
love the fit,positive
Great fit,positive
Excellent,positive
Comfort with limited stretch,positive
It's time they brought back jeans without spandex!!,neutral
Fit perfect,positive
Like the way the jeans fit and feel,neutral
Fits my son just right with his height!,positive
Nice,positive
Got these for my son. They fit perfect! He loves them!,positive
"Comfortable, fit well. Really like the color",positive
"True to the size guide provided, best looking khakis I own",positive
"These pants are definitely pants, I put them on and it feels like I'm wearing pants",neutral
Fits good and I like them,positive
The pants perfectly fit my husband & quality of materials we're good.  We got them for a good price because of all the discounts & super cash rewards that we redeemed.  Thank you so much.  Looking forward for our next shopping.  More power.,positive
Excellent material and fit,positive
"Love the fit of the slim jeans, also has great voice of colors.",positive
Perfect fit my son is 6'4 150lbs,positive
Perfect fit and very comfortable,positive
WOW...not...Did not like the fit. not a boot cut as we know it.,mixed
Fit is fine but denim is really thin. Definitely a summer only pair of jeans. #sweepstakes,mixed
Great purchase! Pleased! Fit perfect!,positive
Soft fabric. Great fit!,positive
Too big. Not my idea if what jeans feel like.,negative
Good quality for the pricr,positive
Great pants for the price! Fits perfect!,positive
Perfect for work or play,positive
My son loves these jeans. They are so comfortable and fit great. I also received them before the scheduled delivery date.,positive
Fit well,positive
Great color,positive
"Loose fit, longer than inseam.",negative
Best pants to dress up or dress down!,positive
Like the material and size. Good !,positive
You'll never believe what I paid for these jeans for my son...best find ever!!,mixed
Comfortable to wear and has the right amount of stretch.,positive
It was way to big that style didn't work for my son.,negative
Fits comfy,positive
On time delivery n they got the Oder right,positive
"Love these jeans, definitely loose in the hip and thigh area which is perfect for my bodytype.",positive
Good value,positive
Not sure what boots were used for this pattern but they are not true boot cut. Ran narrow in the leg which is exactly what I was not looking for with these jeans. Returned.,negative
Bought these for my husband for work. Going to buy more. They look really good on him!,positive
Great cut and color … perfect for our fall preteen,positive
Perfect  for what I needed,positive
Loved,positive
"My child will actually wear them, which is saying a lot!",positive
Too big. Not my idea if what jeans feel like.,negative
"The pants are exactly what was advertised online...  The pants feel like a strong but very light fabric that feels great to wear on a casual day at work, fun with friends and also the pants would be a great match with a nice old Navy button up to go on a first/any date...",positive
Legs are super wide. Look weird,negative
"They were a bit to tight waiting for the next pair to get here. I went to store for refund, they wouldn't refund the delivery charge",negative
Love the fit and color! #sweepstakes,positive
Great pants…very comfortable! Wear to work pretty much everyday.,positive
Always a perfect fit. Can get a long length with narrow waist.,positive
Love the color,positive
Great fit and color,positive
"I wear this size in other old navy pants, but this didn't fit at all.",negative
Liked the quality and fast shipping,positive
Good fit,positive
My sons favorite pants!,positive
Got these for my son. They fit perfect! He loves them!,positive
"Comfortable, fit well. Really like the color",positive
"True to the size guide provided, best looking khakis I own",positive
"These pants are definitely pants, I put them on and it feels like I'm wearing pants",neutral
Fits good and I like them,positive
The pants perfectly fit my husband & quality of materials we're good.  We got them for a good price because of all the discounts & super cash rewards that we redeemed.  Thank you so much.  Looking forward for our next shopping.  More power.,positive
Excellent material and fit,positive
"Love the fit of the slim jeans, also has great voice of colors.",positive
Perfect fit my son is 6'4 150lbs,positive
Perfect fit and very comfortable,positive
My son wears his jeans out so fast & these last through all of his daily activities with ease. He used to only like sweats but will continually wear these pants because they stay soft throughout the day.,positive
Love these jeans but this particular pair was not true to size. I have several others rhe sam size that fit well but it's as if this pair was marked wrong.,mixed
They fit nicely and look great.,positive
Easy simple fit. Nice texture.,positive
The fit was nice and they look great,positive
Looks great on me,positive
Great place to shop,positive
Nice fit. Good quality,positive
Feels and look amazing,positive
The jeans fit perfect on me,positive
Good quality,positive
Comfortable fit! Great colors.,positive
Great fit!  Attractive pants.  Wear like jeans...but appropriate for the office.,positive
Great fit and color. True to size. Great for work or just a casual pant. Love em'.,positive
The size fits perfectly and I like the color,positive
THE only pants my husbands wears.,neutral
These jeans are very comfortable and reasonably priced.,positive
Go to the store to try on - run much smaller.,neutral
"Thr quality of the pants are good,husband says it's quite comfortable to wear all day...very durable.",positive
Perfect fit and I like the quality,positive
They were skinner then we were hoping but my husband loved how much they flexed!,positive
love the stretch!,positive
The new waistline stretchability is GREAT!,positive
The waist was tighter than normal for this particular jeans,neutral
"My new favourite pair of jeans. I love the pockets, the colour is super nice, and i dont feel restricted in movement",positive
Nice looking n but it does run small and my husband bed down and it ripped,positive
Really great fit. Nice and snug in hip and thigh so I don't get that sloppy feel,positive
"Great quality, fits well with lots of stretch.  BTS denim for my son. He loves to be comfortable.",positive
Good fit,positive
Perfect,positive
"Best pants I own. 
Comfortable and clean.",positive
Fit great! Nice stretch and loose fit that tapers in at the right spots. Great for work and every day wear,positive
These Jeans are good.,positive
Great quality!,positive
"Bought the jeans for my son, he loves them. Good quality, very nice colour.",positive
Fits great. Nice stretch. Super comfortable.,positive
Great fit,positive
Great,positive
Great color.  Not all black jeans are the same.  Wonderful fit too.,positive
"There aren't enough stars to rate this pair of pants what they truly are. I've finally found a pair of jeans that fit my waist, thighs, and have a taper by the ankle.",negative
Good quality,positive
Comfortable fit! Great colors.,positive
Great fit!  Attractive pants.  Wear like jeans...but appropriate for the office.,positive
Great fit and color. True to size. Great for work or just a casual pant. Love em'.,positive
The size fits perfectly and I like the color,positive
THE only pants my husbands wears.,neutral
These jeans are very comfortable and reasonably priced.,positive
Go to the store to try on - run much smaller.,neutral
"Thr quality of the pants are good,husband says it's quite comfortable to wear all day...very durable.",positive
Perfect fit and I like the quality,positive
Jeans were stylish and great material but my son reported the waistband needed some flexibility.,positive
Looks great!,positive
Fit perfect!,positive
My son was super happy to find his size and loved the comfort,positive
Bought for son back to school.,positive
Great,positive
GREAT QUALITY,positive
A good sturdy and stylish pair of repaired- ripped jeans.,positive
Nice just what I wanted for my grandsons Christmas gift,positive
"Too skinny, doesn't stretch much. Like the color and style but just not for me. Will be returning.",mixed
Good quality,positive
Comfortable fit! Great colors.,positive
Great fit!  Attractive pants.  Wear like jeans...but appropriate for the office.,positive
Great fit and color. True to size. Great for work or just a casual pant. Love em'.,positive
The size fits perfectly and I like the color,positive
THE only pants my husbands wears.,neutral
These jeans are very comfortable and reasonably priced.,positive
Go to the store to try on - run much smaller.,neutral
"Thr quality of the pants are good,husband says it's quite comfortable to wear all day...very durable.",positive
Perfect fit and I like the quality,positive
The Slim 360 fit my son perfectly.,positive
Super stretchy and comfortable,positive
Great pants super strechable,positive
So comfy,positive
All around great!,positive
Great pair of jeans! Thank you Old Navy,positive
we got these in the dark blue out of the four pairs we bought. I think these might be my son's favorite.,positive
Found the fit to be exactly right but I don't like the light wash as much as the dark wash.. more a matter of personal preference...,neutral
"Fits great, super comfortable stretch. Great style/colors. I've bought 3 pairs already.",positive
Great quality,positive
They are super comfortable and stretch when you need it the most,positive
"Really comfortable, love the pockets. Nice colour too",positive
"bought for my dad  be loves them as much as i do,  fits longer than expected (NOT the jeans fault)",positive
Fits perfectly material great definitely would recommend,positive
Fantastic material…They feel very high end,positive
I'm a old customer and best jeans for me,positive
Fits perfectly,positive
Great fit,positive
Great pants for the hubs.,positive
"Good . Husband likes them , likes the color and fit .",positive
Great jeans only ones my some will wear!,positive
Great fit,positive
They fit well and look great.,positive
They are a really good fit and great jean for the price but we needed a 29 in length for my son he is 13. They do however have the option online to get the 29 in length just not in store,positive
Loved them,positive
Great jeans for everyday wear. True to size,positive
"They were a bit to tight waiting for the next pair to get here. I went to store for refund, they wouldn't refund the delivery charge",negative
Love the fit and color! #sweepstakes,positive
Great pants…very comfortable! Wear to work pretty much everyday.,positive
